stock_code,corp_name,induty_code,wave_group,wave_group_final,report_ok,kw_CBAM,kw_배터리여권,kw_기어박스,kw_휠,kw_현가장치,kw_라디에이터,kw_유럽
014710,사조씨푸드(주),102,비대상,비대상,True,0,0,0,0,0,0,8
010660,화천기계(주),29223,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,3
240810,(주)원익아이피에스,292,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,1,0,1
032750,(주)삼진,264,비대상,비대상,True,0,0,0,0,0,0,0
089030,(주)테크윙,29271,비대상,비대상,True,0,0,0,0,0,0,0
006140,(주)피제이전자,27112,비대상,비대상,True,0,0,0,0,0,0,0
093370,(주)후성,20129,비대상,비대상,True,0,0,0,0,0,0,2
011930,주식회사 신성이엔지,2612,비대상,비대상,True,2,0,0,0,0,0,5
018470,조일알미늄(주),24222,1차(2027),1차(2027),True,0,0,0,0,0,0,2
137400,(주)피엔티,292,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,12
290550,(주)디케이티,26224,비대상,비대상,True,0,0,0,0,0,0,0
018290,(주)브이티,204,비대상,비대상,True,0,0,0,0,0,0,7
178920,피아이첨단소재(주),2221,비대상,비대상,True,0,0,1,0,0,0,3
208140,(주)정다운,101,비대상,비대상,True,0,0,0,0,0,0,0
126600,(주)비지에프에코머티리얼즈,20202,비대상,비대상,True,0,0,0,0,0,2,0
263600,덕우전자(주),2629,비대상,비대상,True,0,0,0,0,0,0,3
017900,광전자(주),2612,비대상,비대상,True,0,0,0,0,0,0,0
356860,(주)티엘비,2622,비대상,비대상,True,0,0,0,0,0,0,0
050890,(주)쏠리드,2642,비대상,비대상,True,0,0,0,0,0,0,14
003680,한성기업(주),10211,비대상,비대상,True,0,0,0,0,0,0,0
090460,(주)비에이치,2622,비대상,비대상,True,0,0,0,0,0,0,0
001570,(주)금양,201,비대상,비대상,True,0,0,0,0,0,0,8
170030,(주)현대공업,303,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,0
058820,(주)CMG제약,212,비대상,비대상,True,0,0,0,0,0,0,1
009900,명신산업(주),303,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,7
090080,평화산업(주),303,2차 후보(확인 필요),"2차(2028, 제품명 확인)",True,0,0,0,0,19,1,2
099190,(주)아이센스,27112,비대상,비대상,True,0,0,0,0,0,0,9
383310,주식회사 에코프로에이치엔,204,비대상,비대상,True,0,0,0,0,0,0,0
033540,주식회사 파라텍,292,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,0
009620,삼보산업 주식회사,24222,1차(2027),1차(2027),True,0,0,4,0,0,0,0
088910,동우팜투테이블,10121,비대상,비대상,True,0,0,0,0,0,0,0
