stock_code,corp_name,size_class,is_holding,wave_group_reviewed,induty_code,kisa_name,kisa_type_used,it_year,it_spend,rev_same_year,it_ratio,rev_band
015260,(주)에이엔피,중견,False,비대상,2622,,,,,,,
081580,성우전자(주),중소,False,비대상,2642,,,,,,,
049430,(주)코메론,중소,False,2차 후보-약,27219,,,,,,,
014280,금강공업(주),중견,False,1차(2027),2413,,,,,,,
104830,(주)원익머트리얼즈,중견,False,비대상,20121,주식회사 원익머트리얼즈,의무,2025,4419375178.0,302890865997.0,0.01459065186219175,3천억~5천억
007210,(주)벽산,중견,False,비대상,23999,(주)벽산,의무,2025,2206237995.0,404333691940.0,0.005456478247989754,3천억~5천억
225590,패션플랫폼(주),중소,False,비대상,141,,,,,,,
052860,(주)아이앤씨테크놀로지,중소,False,비대상,2611,,,,,,,
161890,한국콜마(주),중견,False,비대상,20423,한국콜마,의무,2025,14074713703.0,1192752359723.0,0.011800197742864792,1조~5조
215360,우리산업(주),중견,False,2차 후보(확인 필요),303,(주)우리산업,의무,2025,1017287146.0,517100624295.0,0.00196729050054221,5천억~1조
066130,(주)하츠,중소,False,2차(2028),28519,,,,,,,
123860,(주)아나패스,중견,False,비대상,2611,,,,,,,
009470,삼화전기(주),중견,False,비대상,26291,,,,,,,
119500,(주)포메탈,중소,False,2차 후보(확인 필요),259,,,,,,,
256150,(주)한독크린텍,중소,False,2차 후보(확인 필요),29175,,,,,,,
063760,(주)이엘피,중소,False,2차 후보-약,27212,,,,,,,
020000,(주)한섬,대기업,False,비대상,14112,(주)한섬,의무,2025,19907889746.0,1489379442000.0,0.013366566762373775,1조~5조
011780,금호석유화학(주),중견,False,비대상,201,금호석유화학(주),의무,2025,16065486675.0,4571978509755.0,0.0035139024911691693,1조~5조
049520,유아이엘(주),중소,False,비대상,2629,,,,,,,
264850,(주)이랜시스,중소,False,비대상,262,,,,,,,
140520,(주)대창스틸,중견,False,1차(2027),24122,대창스틸,의무,2025,63475000.0,398226905681.0,0.00015939405171896322,3천억~5천억
026940,부국철강(주),중견,False,1차(2027),2413,,,,,,,
121890,(주)에스디시스템,중소,False,비대상,2629,,,,,,,
393890,더블유씨피(주),중견,False,비대상,28202,,의무,2024,1062720469.0,322073352106.0,0.003299622468145828,3천억~5천억
082920,(주)비츠로셀,중견,False,비대상,28201,,,,,,,
049120,(주)파인디앤씨,중소,False,비대상,26211,,,,,,,
018310,삼목에스폼(주),중견,False,1차(2027),2511,,의무,2024,543039683.0,328190036417.0,0.0016546501195728285,3천억~5천억
008490,(주)서흥,중견,False,비대상,2049,(주)서흥,의무,2025,3119020639.0,355633395020.0,0.008770325516884019,3천억~5천억
002070,(주)비비안,중견,False,비대상,14120,,,,,,,
056080,(주) 유진로봇,중소,False,2차 후보(확인 필요),292,,,,,,,
155660,DSR(주),중견,False,2차 후보(확인 필요),242,,,,,,,
210540,디와이파워(주),중견,False,2차(2028),29241,,,,,,,
090710,휴림로봇(주),중소,False,2차(2028),29280,,,,,,,
