corp_code,corp_name,stock_code,corp_cls,induty_code,jurir_no,bizr_no,est_dt,acc_mt,adres,bsns_year,rcept_no,cfs_rev_t,cfs_rev_t1,cfs_rev_t2,cfs_assets_t,cfs_rev_3y_avg,ofs_rev_t,ofs_rev_t1,ofs_rev_t2,ofs_assets_t,ofs_rev_3y_avg,rev_source
00482426,인화정공(주),101930,K,31114,1942110032988,6098136060,19990108,12,경상남도 창원시 의창구  차룡로14번길 55 인화정공(주) (팔용동),2025,20260407001497,107958290033.0,92784009378.0,103951073738.0,462070252569.0,101564457716.0,92353371754.0,80173980936.0,71883562953.0,457279513037.0,81470305214.0,주요계정
01179617,(주)한국비엔씨,256840,K,211,1101116202305,4048600676,20161014,12,"대구광역시 달서구 성서공단로11길 62 대구테크노파크 벤처공장 1호관 405호(사무실),502호, 503호, 206호,",2025,20260408003166,95899224534.0,89229997633.0,80997489681.0,277985647693.0,88708903949.0,70575023200.0,63861113182.0,51152564048.0,257179347414.0,61862900143.0,주요계정
01257872,에스프리즘 (주),288620,K,281,1311110367986,1298686341,20140228,12,서울특별시 송파구 법원로6길 11 4층,2025,20260319001277,15786204867.0,33666472002.0,32525031491.0,91044143269.0,27325902787.0,15786204867.0,33569472002.0,32129888491.0,90952073569.0,27161855120.0,주요계정
01787355,(주)나라스페이스테크놀로지,478340,K,31311,1101115682201,6328800033,20150331,12,"서울특별시 영등포구 국회대로 632 영등포유윈시티 14층,15층",2025,20260319000778,,,,,,13236859805.0,4299000437.0,1627796991.0,55313262466.0,6387885744.0,주요계정
00103547,우진비앤지(주),018620,K,21230,1243110014409,1248114283,19851217,12,경기도 화성시 양감면 정문송산로 230,2025,20260319001070,54764190957.0,55680173272.0,57919354665.0,109025088341.0,56121239631.0,30204319324.0,26377541583.0,24145972334.0,53089057968.0,26909277747.0,주요계정
01207716,(주)앱코,129890,K,26329,1101112284729,1068601413,20010711,12,서울특별시 강서구 마곡중앙1로 20 M시그니처 7층 &nbsp,2025,20260629000181,83427579554.0,93368353634.0,98938963953.0,103765097070.0,91911632380.0,83427579554.0,93368353634.0,98938963953.0,103815034765.0,91911632380.0,주요계정
00166528,서암기계공업(주),100660,K,29142,2042110000784,4108101068,19780215,12,광주광역시 광산구  하남산단8번로 127-15 (안청동),2025,20260318001127,46501236360.0,42371013550.0,45836974166.0,82779614547.0,44903074692.0,42142074274.0,42371013550.0,45836974166.0,78036431475.0,43450020663.0,주요계정
00199076,(주)동일기연,032960,K,2629,1341110012687,1238115843,19860306,12,경기도 화성시  남양로930번길 28 동일기연,2025,20260805000412,21551039836.0,24110354370.0,25234856762.0,68619261553.0,23632083656.0,20937098135.0,23837534300.0,24777953398.0,69101778079.0,23184195278.0,주요계정
01370322,삼진식품(주),0013V0,K,10211,1801110991314,3608600207,20150904,12,부산광역시 영도구 태종로99번길 36(봉래동2가),2025,20260324000560,109497527234.0,96399989498.0,84643432083.0,83070753778.0,96846982938.0,109725821216.0,97191897403.0,84985248461.0,79100442113.0,97300989027.0,주요계정
00111847,대원강업(주),000430,Y,303,1101110015556,1048115560,19460920,12,충청남도 천안시 서북구 성거읍 오목모전길 117-8 대원강업주식회사,2025,20260318001323,1599072177000.0,1367585047000.0,1106756862000.0,1449297103000.0,1357804695333.0,781507649000.0,759508640000.0,758788825000.0,736563661000.0,766601704667.0,주요계정
00876166,(주)케이비지,318000,K,20202,1615110041619,3128147440,20010302,12,충청남도 천안시 동남구 성남면 대흥신덕길 84-19,2025,20260320000634,23920820499.0,24915425602.0,21589233488.0,52349209943.0,23475159863.0,19343968806.0,23140357548.0,21589233488.0,50017422908.0,21357853281.0,주요계정
