stock_code,corp_name,wave_group,keyword,context
137400,(주)피엔티,2차 후보(확인 필요),유럽,"종소비자에 판매 41,061 P/O접수-제품판매-대금회수 5.51% 수출 직접판매(면장) : 중국, 미국, 유럽, 기타 617,323 P/O접수-제품판매-대금회수(T/T, L/C) 82.87% 간접판매(영세) : 국내,"
137400,(주)피엔티,2차 후보(확인 필요),유럽,"종소비자에 판매 15,773 P/O접수-제품판매-대금회수 2.12% 수출 직접판매(면장) : 중국, 미국, 유럽, 기타 39,128 P/O접수-제품판매-대금회수(T/T, L/C) 5.25% 간접판매(영세) : 국내, 해"
137400,(주)피엔티,2차 후보(확인 필요),유럽,"종소비자에 판매 56,834 P/O접수-제품판매-대금회수 7.63% 수출 직접판매(면장) : 중국, 미국, 유럽, 기타 656,451 P/O접수-제품판매-대금회수(T/T, L/C) 88.13% 간접판매(영세) : 국내,"
018290,(주)브이티,비대상,유럽," 구사 하였으며, 해외전시회 참가를 통해 GMP 고객사와의 관계개선을 넓혀가고있습니다. 근래 들어 중국, 동유럽 등에서 생산되는 저가형 기계 및 필름 공급이 증가하고있으나 당사는 대형기계위주의 고부가가치 제품으로 시장 "
018290,(주)브이티,비대상,유럽,"시장 경쟁자들과 차별화된 신제품 LAMIMASTER IDH-54 PAIR DUPLEX HS 150을 미국, 유럽 디지털 사진 시장에 공급하며 큰 호응을 얻고 있습니다. 또한 당사는 인덕션 히팅 롤러의 국내최대 설계ㆍ제조"
018290,(주)브이티,비대상,유럽,"동 기술기반으로 더욱 더 진보된 결과를 바탕으로 국내 특허 3개와 PCT 진입을 완료 하였고 일본, 미국, 유럽연합에서 심사를 진행하고 있습니다. 또한 기술의 실현성을 확인하기 위해 서울대학교병원에서 임상 1상을 수행 "
178920,피아이첨단소재(주),비대상,기어박스," 있습니다. EV 배터리 절연 Tape 외에도 PI필름은 전장에 들어가는 각종 센서, 카메라, LED램프, 변속기, 안테나, BMS(Battery Management System) 및 ICB(Inter Connection"
178920,피아이첨단소재(주),비대상,유럽,"당사는 외화 거래 및 환산으로 발생한 외환차이를 기타영업외수익과 기타영업외비용으로 인식하고 있으며, 당기말 유럽중앙은행에서 공시하는 매매기준율을 사용하여 환산하였습니다.28. 법인세비용(1) 당기와 전기 중 법인세비용의"
178920,피아이첨단소재(주),비대상,유럽,"당사는 외화 거래 및 환산으로 발생한 외환차이를 기타영업외수익과 기타영업외비용으로 인식하고 있으며, 당기말 유럽중앙은행에서 공시하는 매매기준율을 사용하여 환산하였습니다. 28. 법인세비용 법인세비용(수익)의 주요 구성요"
178920,피아이첨단소재(주),비대상,유럽,"는 기존 시장에서의 경쟁력을 더욱 강화하는 한편, 새로운 주주사인 Arkema와 함께 시너지를 낼 수 있는 유럽 및 북미 지역 매출 확대와 신사업 매출 확대를 적극 추진하고 있습니다. 이러한 전략적 경영계획을 기반으로 "
126600,(주)비지에프에코머티리얼즈,비대상,라디에이터,6% - (4) 연구개발실적 분야 항목(소재) 내용 비고 자동차 PA66/612/GF 내염화칼슘성이 우수한 라디에이터탱크용 소재 2008년 현대(차)와 공동 장영실상 MPPO/GF/난연 친환경(할로젠프리) 난연(V-0) 제품
126600,(주)비지에프에코머티리얼즈,비대상,라디에이터," 난연(V-0) 제품으로 EV용 배터리 부품용 경량화 소재 고객사 MS등재 PP/GF, PP/LGF EV용 라디에이터탱크 부품용 소재, Reservoir tank용 소재 - PA6/GF/내충격 자동차 에어백용 하우징 소재 -"
263600,덕우전자(주),비대상,유럽,"활용하기 위해 진출해 있습니다. 아울러 세계적인 경쟁력을 갖춘 자동차 관련 물류 인프라가 있으며, 아시아나 유럽 등 NAFTA 이외의 지역으로도 자동차 수출 물량이 크게 늘어나고 있습니다. 이는 멕시코가 글로벌 자동차 "
263600,덕우전자(주),비대상,유럽,"들이 진출해 있습니다. 폴란드는 자동차 생산 분야에서 많은 해외투자를 적극적으로 유치한 결과, 현재 중동부 유럽에서 자동차와 자동차 부품 및 구성요소를 생산하는 주요 생산국으로 자리매김했습니다. 최근에는 유럽 내 전기차"
263600,덕우전자(주),비대상,유럽,"재 중동부 유럽에서 자동차와 자동차 부품 및 구성요소를 생산하는 주요 생산국으로 자리매김했습니다. 최근에는 유럽 내 전기차 판매 확대에 따라 전기차 배터리 최대 생산국으로 부상 중으로, 산업 생태계의 중심이 될 것으로 "
050890,(주)쏠리드,비대상,유럽,"이동통신 기지국 관련 장비 등의 연구개발, 제조 및 판매를 주요 사업으로 영위하고 있습니다. 당사는 북미, 유럽, 일본 등 주요 선진국 시장에서 확고한 시장 점유율을 확보하고 있으며, 국내에서는 SKT, KT, LGU+"
050890,(주)쏠리드,비대상,유럽,"일본 42,003,802 51,675,130 51,083,873 SOLiD JAPAN, Inc., ㈜쏠리드 유럽 53,070,765 59,292,153 55,395,535 SOLID TELECOMMUNICATIONS L"
050890,(주)쏠리드,비대상,유럽,"~2개월 단위로 수주(P/O)를 받고 있습니다. 2025년말 기준 수주 잔고는 북미 $28,009,000, 유럽 $37,311,000입니다. 5. 위험관리 및 파생거래 가. 자본위험관리 연결회사의 자본위험관리는 건전한 "
001570,(주)금양,비대상,유럽,"수요는 장기적으로 우상향 곡선을 그리고 있습니다. 이에 대응하기 위해 국내외 주요 배터리 제조사들은 북미, 유럽 등 핵심 시장을 중심으로 대규모 생산 거점 증설을 가속화하고 있으며, 특히 중국 기업들의 공격적인 해외 진"
001570,(주)금양,비대상,유럽,"3) 핵심 연구인력 직 위 성 명 담당업무 주요 경력 기술연구소장 정재욱 발포제 R&D 총괄 - (주)금양 유럽사무소장 - (주)금양 기술연구소장 - 現 (주)금양 기술연구소장, 해외영업팀장 겸임 제조혁신센터장 정주식 "
001570,(주)금양,비대상,유럽,"른 가격경쟁이 심화되고 있는 상황이나, 기술우위를 바탕으로 한 품질차별화 전략을 지속적으로 추진하여 미주, 유럽 등 고가제품 시장의 확대와 친환경 제품 개발을 통해 장기적으로는 신시장 개척을 통한 신규수요 확보를 위해 "
058820,(주)CMG제약,비대상,유럽," 해외 시장 진출을 통해 시장확대를 꾀하고 있습니다. 특히 전 세계 의약품 매출의 대부분을 차지하는 미국, 유럽, 일본과 같은 선진시장 진출에 적극적으로 주력해야 할 필요성이 대두되고 있습니다.(5) 자원조달상의 특성제"
009900,명신산업(주),2차 후보(확인 필요),유럽,"동차 업체의 1차 납품업체이며, 중국 현지 종속법인 또한 글로벌 전기자동차업체의 납품업체로서 중국 내수 및 유럽시장에 제품을 공급하고 있습니다. 각 완성차 업체별 매출액은 다음과 같습니다. (단위 : 백만원) 품 목 매"
009900,명신산업(주),2차 후보(확인 필요),유럽,탬핑 부품 전량 수주에 성공하였습니다. 당사의 중국 현지 법인은 글로벌전기차 중국법인을 통해 중국 내수 및 유럽시장에 제품을 공급하고 있습니다. 5. 위험관리 및 파생거래 연결회사는 여러 활동으로 인하여 시장위험(환위험
009900,명신산업(주),2차 후보(확인 필요),유럽,MPING PROCESS(핫 스탬핑 과정을 위한 고주파 가열 방법) 2017.05.08 2012.12.08 유럽 - 8 Induction heating method for hot stamping process(핫 스탬핑
090080,평화산업(주),2차 후보(확인 필요),현가장치,"효율성 증대, 제품의 다각화, 품질 경쟁력 강화를 위해 (주)파브코를 흡수합병하였습니다. 당사는 방진, 에어서스펜션, 호스 자동차 부품을 생산하여 국내 완성차 메이커인 현대차, 기아차, 한국GM, 쌍용차에 판매하고 있으며,"
090080,평화산업(주),2차 후보(확인 필요),현가장치,"그 기술력을 인정받고 있습니다. 2. 주요 제품 및 서비스 가. 주요 제품 등의 현황 당사는 방진부품, 에어서스펜션 부품, 호스부품 및 방위산업용 특수차량 부품을 생산, 판매하고 있습니다. 이에 대한 세부내용은 다음과 같습"
090080,평화산업(주),2차 후보(확인 필요),현가장치," 제품 및상품 방진제품 진동방지 자체상표(PH) 및완성차업체의주문자상표방식과병행하여 부착 333,180 에어서스펜션 진동방지 20,652 호스제품 배관 244,445 특수차량부품 기재생략 기재생략 19,749 합 계 - -"
090080,평화산업(주),2차 후보(확인 필요),라디에이터,"중량절감, 파셜화 용이성 확보 개발- 벨로우즈 사양 다양화 개발- 가격 경쟁력 강화 및 기술 내재화 고성능 라디에이터호스 개발 2023~2024년 -고출력 및 냉각효율 향상에 대한 내압성능 향상 제품 개발- 복합구조 적용으로"
090080,평화산업(주),2차 후보(확인 필요),유럽,한공략을 강화할 전망입니다. 구조조정을 마무리한 미국업체는 고연비차 중심으로 라인업을 재구축하고 있습니다. 유럽업체들은 친환경차 분야에서 일본업체와 협력을 강화하고 있는 동시에 신흥시장용 전략 모델 출시도 확대할 예정입
090080,평화산업(주),2차 후보(확인 필요),유럽,"커들은 자국 내수에서의 점유율 확대뿐 아니라 해외에서도 자국의 완성차가 수출되기를 희망하고 있으며, 이미 동유럽, 러시아, 아프리카, 동남아 등 일부 국가로 수출이 진행되고 있으나 선진국 등으로 수출을 본격화하려면 품질"
099190,(주)아이센스,비대상,유럽,"있습니다. (2) 당기와 전기 중 지역별 매출은 다음과 같습니다. (단위: 천원) 구 분 미국 국내 아시아 유럽 기타 합 계 당기 58,668,555 65,198,402 26,006,738 35,990,390 53,19"
099190,(주)아이센스,비대상,유럽,"있습니다. (2) 당기와 전기 중 지역별 매출은 다음과 같습니다. (단위: 천원) 구 분 미국 국내 아시아 유럽 기타 합 계 당기 99,829,667 66,825,937 45,095,638 48,152,088 55,54"
099190,(주)아이센스,비대상,유럽,": 44건, 등록: 371건)를 국내ㆍ외에 출원 및 등록하였습니다. 나. 지적재산권 보유현황 당사는 미국, 유럽, 중국, 일본을 포함한 세계 100여개국 이상의 국가에 대한 수출을 통해 매출의 약 80% 정도 달성하고 "
009620,삼보산업 주식회사,1차(2027),기어박스,"회사의 내용](삼보오토주식회사)종속회사 삼보오토주식회사는 다이캐스팅 공법을 통하여 자동차부품(엔진 케이스류,변속기부품, 조항장치 등)을 생산 및 판매하고 있습니다. 다이캐스팅은 치수가 정확하므로 다듬질할 필요가 거의 없는"
009620,삼보산업 주식회사,1차(2027),기어박스," (단위 : 백만원) 사업부문 매출유형 품 목 구체적용도 주요상표 등 매출액 비율(%) 자동차부품사업 제품 변속기부품 트랜스 미션 외 - 79,752 55.5 제품 전기차/HEV 전기차 부품 외 - 36,677 25.5 "
009620,삼보산업 주식회사,1차(2027),기어박스,"공법 적용- CT감소를 위한 special tools 사용- 누설 체크를 위한 리크테스트 eM/eS HSG 감속기 case 2024년~현재 현대트랜시스 감속기 부품 금형 설계 및 주조 기술 , 가공기술의 최적화로 인한 고"
007530,(주)와이엠,2차 후보(확인 필요),기어박스," 및 라인업 확대를 꾀하고 있습니다. 이에 따라 자동차용 파스너 산업도 핵심 전동화 모듈인 모터, 인버터, 감속기 및 전기차 주요 핵심부품인 배터리 등에 적용할 신규 파스너 개발이 활발이 추진되고 있으며, 그 성패에 따라"
007530,(주)와이엠,2차 후보(확인 필요),유럽,04 스마트공장 우수기업 선정2018.10 4차 산업혁명 선도기업 산업통상자원부장관 표창 수상2019.02 유럽지사 설립2020.09 미국지사 설립2022.03 관세청 모범납세자 부총리표창 수상2023.03 회사명 변경
293480,하나제약(주),비대상,유럽,"의 동남아 서브 라이선스 계약 체결싱가포르, 인도네시아, 필리핀3) 하나제약의 위탁생산 계약 체결- 일본, 유럽 주) 당사의 License-in 계약의 내용은 변동 없이 유지되었으며, 관련 내용을 요약하여 기재하였습니다"
293480,하나제약(주),비대상,유럽,"0: 141-147)[학회발표]1) 피마사르탄칼륨 / 로수바스타틴 복합제 개발 (2017년, 약제학회)2) 유럽에서의 개량신약 허가전략 및 사례 (2013년, 약제학회)[수상]1) 산업통상자원부장관상(기술사업화부분, 2"
293480,하나제약(주),비대상,유럽,"al Products in Korea(KGMP)라고 함 EU-GMP EU GMP란 cGMP와 같은 개념으로 유럽 식약처라 할 수 있는 EMA 실사를 받아 EU국가에 수출할 수 있는 품목 허가를 의미. 서유럽, 동유럽을 "
053270,(주)구영테크,2차 후보(확인 필요),유럽,".2025년은 美 신공장 가동, 25% 고관세 부과 등 불안 요인에도 불구, 내수 방어와 미국 수출 감소를 유럽 친환경차 수출 확대로 보완하여 수출 감소폭을 최소화하면서 전년대비 1.2% 감소한 수준의 생산이 이루어졌으"
001620,케이비아이동국실업(주),2차 후보(확인 필요),유럽,"uster Facia, Console FRT Side 등 다양한 제품을 폭스바겐, 아우디, BMW외 다수의 유럽 완성차 업체에 공급하고 있습니다. DONG KOOK MEXICO S.A. de C.V. 역시 마찬가지로 칵"
001620,케이비아이동국실업(주),2차 후보(확인 필요),유럽,"agen, BMW, GM 등 각지 고객사에 모듈형 부품을 납품 중이며 지역별 매출액은 국내 4,837억원, 유럽 2,222억원, 멕시코 659억원, 중국 304억원, 그 외 지역 58억원으로 이루어져 있습니다.(1) 자"
001620,케이비아이동국실업(주),2차 후보(확인 필요),유럽,"DC현대EP, 롯데케미칼 外 미해당 중국 NY6GF 외 14,582 9.33 열화사빅, 현대EP 外 미해당 유럽 PP/ABS 외 69,377 44.41 TRINSEO, CEMM 外 미해당 멕시코 PPF, PP 외 16,"
278470,(주)에이피알,비대상,유럽,"통한 제품 판매 (3) 판매전략 당사는 미국과 일본 등 선진 시장에서의 브랜드 입지를 공고히 하는 동시에, 유럽, 중동, 동남아 등 성장 잠재력이 높은 지역으로의 시장 확장을 가속화하고 있습니다. 이를 위해 자사몰을 통"
015750,(주)성우하이텍,2차 후보(확인 필요),현가장치," 운전자와 화물을 적재하기 위한 부분이며 샤시는 차체를 제외한 나머지 부분을 총칭하고 제동장치, 조향장치, 현가장치등이 이에 포함됩니다. 자동차부품산업도 3차 공급업체까지 고려하는 경우 자본 투입에 있어 상당한 편차를 보일"
015750,(주)성우하이텍,2차 후보(확인 필요),유럽,"부재료 프레스 가공용 철판 및도장용 페인트 등 2차 가공전 1차 프레스 작업부품 중국 195,527,579 유럽 687,425,954 인도 370,648,409 북미 447,083,101 합계 2,707,764,031 "
